"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.46886179237E+007, -3.66964122672E+001, +0.00000000000E+000
+1.47643229131E+007, -3.66101326780E+001, +0.00000000000E+000
+1.48400279025E+007, -3.65281230203E+001, +0.00000000000E+000
+1.49157328920E+007, -3.64401397353E+001, +0.00000000000E+000
+1.49914378814E+007, -3.63528000805E+001, +0.00000000000E+000
+1.50671428708E+007, -3.62577390275E+001, +0.00000000000E+000
+1.51428478602E+007, -3.61779744006E+001, +0.00000000000E+000
+1.52185528497E+007, -3.60889760552E+001, +0.00000000000E+000
+1.52942578391E+007, -3.60104577626E+001, +0.00000000000E+000
+1.53699628285E+007, -3.59209742292E+001, +0.00000000000E+000
+1.54456678179E+007, -3.58320627430E+001, +0.00000000000E+000
+1.55213728073E+007, -3.57546558235E+001, +0.00000000000E+000
+1.55970777968E+007, -3.56678798777E+001, +0.00000000000E+000
